"Technology","Project Name","Site Name","Operational Capacity (MW)"
"Anaerobic Digestion","Angus Hotel CHP_Extension","Angus Hotel CHP_Extension (Waste AD)",0.23
"Anaerobic Digestion","Barkip Anaerobic Digestor (AD)","Barkip Anaerobic Digestor (Waste AD)",2.126
"Anaerobic Digestion","Bio Gask - A, B, C, E (Gask Farm)","Bio Gask - A, B, C, E (Farm AD)",1.2
"Anaerobic Digestion","Cameron Bridge Distillery (Diageo) (Industrial (CHP))","Cameron Bridge Distillery (Diageo) - CHP (Waste AD)",5.5
"Anaerobic Digestion","Camieston Biogas","Camieston Biogas (Farm AD)",0.499
"Anaerobic Digestion","Creed Park","Creed Park - A, C, D (2/4/2007) (Waste AD)",0.237
"Anaerobic Digestion","Cumbernauld BioPlant (AD) - energen biogas","Cumbernauld BioPlant (AD) - energen biogas (Waste AD)",5.822
"Anaerobic Digestion","Deerdykes Composting and Organics Recycling Facility","Deerdykes Composting and Organics Recycling Facility (Waste AD)",1.236
"Anaerobic Digestion","FIT-AD S","FIT-AD S",17.95
"Anaerobic Digestion","GIRVAN DISTILLERY-ANAEROBIC REACTOR","GIRVAN DISTILLERY-ANAEROBIC REACTOR  (Waste AD)",7.357
"Anaerobic Digestion","Glasgow Renewable Energy and Recycling Centre (Waste AD)","Glasgow Renewable Energy and Recycling Centre (Waste AD)",5
"Anaerobic Digestion","Hatton Farm AD","Hatton Farm AD/Grissan Carnside Limited (Farm AD)",0.993
"Anaerobic Digestion","Inchdairnie Renewable Energy","Inchdairnie Renewable Energy (Farm AD)",0.46
"Anaerobic Digestion","Lochtower AD","Lochtower AD",0.55225
"Anaerobic Digestion","Messrs GE Booth & Son","Savock Farm (Farm AD)",0.46
"Anaerobic Digestion","Perth AD Plant - ROC","Perth AD Plant - ROC (Waste AD)",2.36
"Anaerobic Digestion","Portgordon Maltings","Portgordon Maltings/Grissan Portside Limited (Farm AD)",1.013
"Anaerobic Digestion","Scottish Executive New Farm Digester","Scottish Executive New Farm Digester (Waste AD)",0.015
"Anaerobic Digestion","Stracathro Renewable Energy","Stracathro Renewable Energy (Unknown)",0.46
"Anaerobic Digestion","TECA AD","TECA AD (Waste AD)",0.35
"Anaerobic Digestion","Tornagrain Gas Mill","Tornagrain Gas Mill (Unknown)",0.46
"Biomass","Acharn Forest Killin Biomass Plant","Acharn Forest Killin Biomass Plant",5.6
"Biomass","Adam Wilson & Sons 1","Adam Wilson & Sons 1",2.464
"Biomass","Angus Hotel CHP","Angus Hotel CHP",0.049
"Biomass","Annan Hospital Biomass","Annan Hospital Biomass",0.199
"Biomass","Arisaig CHP","Arisaig CHP",0.049
"Biomass","Arnhall Farm CHP","Arnhall Farm CHP",0.047
"Biomass","Auchencheyne CHP","Auchencheyne CHP",0.133
"Biomass","Balcas Biomass CHP Power Station","Balcas Biomass CHP Power Station",9.6
"Biomass","Balmachie Farm CHP","Balmachie Farm CHP",0.086
"Biomass","Balring","Balring",0.125
"Biomass","Blackstoun Home Farm CHP","Blackstoun Home Farm CHP",0.088
"Biomass","Border Biofuels","Border Biofuels",0.076
"Biomass","Border Biofuels 2 ltd","Border Biofuels 2 ltd",0.224
"Biomass","Broombank Farm CHP","Broombank Farm CHP",0.049
"Biomass","Burkhardt 1","Burkhardt 1",0.197
"Biomass","Caledonian CHP1","Caledonian CHP1",26.043
"Biomass","Campbell Fuel CHP","Campbell Fuel CHP",0.094
"Biomass","Cardryne CHP","Cardryne CHP",0.1246
"Biomass","Castle Douglas Hospital Biomass","Castle Douglas Hospital Biomass",0.199
"Biomass","Castleton Fruit Ltd","Castleton Fruit Ltd",0.147
"Biomass","CoRDE","Rothes Bio-Plant",8.614
"Biomass","Cowley CHP","Cowley CHP",0.045
"Biomass","Dalquhandy CHP","Dalquhandy CHP",1.02
"Biomass","Diageo Biomass Energy Project","Diageo Biomass Energy Project",5.5
"Biomass","DMTN Ltd ORC","DMTN Ltd ORC",0.175
"Biomass","Dowhill Farm","Dowhill Farm",0.12
"Biomass","Dronley Farm CHP","Dronley Farm CHP",0.0623
"Biomass","Duke of Gordon CHP 1","Duke of Gordon CHP 1",0.094
"Biomass","Dumfries Peel Centre 5969","TESCO - DUMFRIES 5969",0.15
"Biomass","East Reston Farm CHP","East Reston Farm CHP",0.076
"Biomass","Forthar Farm CHP","Forthar Farm CHP",0.1275
"Biomass","Gartmore CHP","Gartmore CHP",0.049
"Biomass","Glenborrodale Biomass CHP","Glenborrodale Biomass CHP",0.225
"Biomass","Glenskinno CHP","Glenskinno CHP",0.049
"Biomass","Harbour Road","Harbour Road",2.55
"Biomass","Hevac Biogas","Hevac Biogas",0.049
"Biomass","Highland Powerhouse1","Highland Powerhouse1",0.08
"Biomass","Ignis Wick CHP","Ignis Wick CHP",0.197
"Biomass","Invergordon Pellet Mill","Invergordon Pellet Mill",5
"Biomass","Keilburn Farm CHP","Keilburn Farm CHP",0.049
"Biomass","Kelloe Mains ORC Generator","Kelloe Mains ORC Generator",0.0645
"Biomass","KIRKCUDBRIGHT COTTAGE HOSPITAL Biomass","KIRKCUDBRIGHT COTTAGE HOSPITAL Biomass",0.199
"Biomass","Lemington Farm CHP","Lemington Farm CHP",0.188
"Biomass","Levenseat EfW","Levenseat EfW",12.5
"Biomass","Liberty Steel Dalzell","Liberty Steel Dalzell",17.43
"Biomass","Liberty Steel Lochaber","Liberty Steel Lochaber",17.32
"Biomass","Loanhead Farm CHP","Loanhead Farm CHP",0.04
"Biomass","LOCHMABEN HOSPITAL Biomass Boiler","LOCHMABEN HOSPITAL Biomass Boiler",0.199
"Biomass","Mains of Fortrie CHP","Mains of Fortrie CHP",0.076
"Biomass","Mein Farming Ltd - Gas Engine Systems 1 & 2","Mein Farming Ltd - Gas Engine Systems 1 & 2",0.09
"Biomass","MMM Resources Gasifier","MMM Resources Gasifier",0.135
"Biomass","Moffat Hospital Biomass","Moffat Hospital Biomass",0.199
"Biomass","Myreton of Claverhouse Farm CHP","Myreton of Claverhouse Farm CHP",0.092
"Biomass","Newton Stewart Hospital Biomass","Newton Stewart Hospital Biomass",0.199
"Biomass","Old Ballikinrain","Old Ballikinrain",0.076
"Biomass","Outertown Farm","Outertown Farm",0.04
"Biomass","Parkview CHP","Parkview CHP",0.049
"Biomass","Piperdam Golf Club CHP","Piperdam Golf Club CHP",0.049
"Biomass","PROJECT & ENERGY MANAGEMENT","GIRVAN SITE, LAND ENERGY (GIRVAN) LTD",2.544
"Biomass","Pulteney Distillery","Pulteney Distillery",3.5
"Biomass","Raehills Estate CHP","Raehills Estate CHP",0.04
"Biomass","RAH Heliex steam turbine","RAH Heliex steam turbine",0.11
"Biomass","Robston House Farm CHP","Robston House Farm CHP",0.1275
"Biomass","Roxan FDBL Generator","Roxan FDBL Generator",0.08
"Biomass","Scotston CHP Gasifier","Scotston CHP Gasifier",0.05
"Biomass","South Cassochie Farm ORC","South Cassochie Farm ORC",0.1488
"Biomass","Speyside CHP","Speyside CHP",14.99
"Biomass","Stevens Croft","Stevens Croft",46
"Biomass","Sustainable Power and Research Campus","Sustainable Power and Research Campus",6.5
"Biomass","Tayside Forestry CHP","Tayside Forestry CHP",0.0523
"Biomass","Thornhill Hospital Biomass","Thornhill Hospital Biomass",0.199
"Biomass","Towngate CHP","Towngate CHP",0.0523
"Biomass","Tullis Russell Paper Mill (Markinch)","Tullis Russell Paper Mill (Markinch)",65
"Biomass","We Hae Meat CHP","We Hae Meat CHP",0.08
"Landfill gas","Drummond Moor Generation","Drummond Moor Generation",1.15
"Landfill gas","Lochead Melville - A, C","Lochead Melville - A, C",1.511
"Landfill gas","Lochhead Fife Power","Lochhead Fife Power",2.272
"Landfill gas","Oatslie Generation","Oatslie Generation",2.63
"Landfill gas","Patersons Quarries Generating Station","Patersons Quarries Generating Station",4.252
"Landfill Gas","Auchencarroch #2 Landfill Site","Auchencarroch #2 Landfill Site",3.178
"Landfill Gas","Auchencarrock Landfill","Auchencarrock Landfill",1.976
"Landfill Gas","Auchinlea","Auchinlea",2.272
"Landfill Gas","Avondale Power Station","Avondale Power Station",11.6
"Landfill Gas","Barkip Landfill Site Electricity Generating Station","Barkip Landfill Site Electricity Generating Station",1.06
"Landfill Gas","Binn Landfill","Binn Landfill",3.408
"Landfill Gas","Bonnyrigg Power (Melville)","Bonnyrigg Power",1.15
"Landfill Gas","Cathkin RO Generation","Cathkin RO Generation",8.461
"Landfill Gas","Craignaught Landfill Site (Dunlop Power)","Craignaught Landfill Site (Dunlop Power)",0.7
"Landfill Gas","Crow's Nest Microgeneration Project","Crow's Nest Microgeneration Project",0.065
"Landfill Gas","Dunbar Power Plant","Dunbar Power Plant",7
"Landfill Gas","Easter Langlee","Easter Langlee",0.8
"Landfill Gas","Garlaff Landfill Gas Project","Garlaff Landfill Gas Project",5
"Landfill Gas","Greengairs Phase 3","Greengairs Phase 3",4
"Landfill Gas","Greengairs Phase 4","Greengairs Phase 4",4
"Landfill Gas","Greengairs Phase I","Greengairs Phase I",3.95
"Landfill Gas","Greengairs Phase II","Greengairs Phase II",3.952
"Landfill Gas","Greengairs V","Greengairs V",2.3
"Landfill Gas","Greengairs VI","Greengairs VI",4.6
"Landfill Gas","Greenoakhill Landfill Site","Greenoakhill Landfill Site",4.012
"Landfill Gas","Hill of Tramaud Generating Station","Hill of Tramaud Generating Station",1.395
"Landfill Gas","Kaimes - SRO 3","Kaimes - SRO 3",2.6
"Landfill Gas","Levenseat Renewable Energy","Levenseat Renewable Energy",1
"Landfill Gas","Lingerton Microgeneration Project","Lingerton Microgeneration Project",0.05
"Landfill Gas","Locharmoss Landfill Site","Locharmoss Landfill Site",0.8
"Landfill Gas","Lochhead","Lochhead",1.136
"Landfill Gas","Longman Microgeneration","Longman Microgeneration",0.065
"Landfill Gas","Lower Melville Wood","Lower Melville Wood",1
"Landfill Gas","Lower Polmaise Landfill Gas","Lower Polmaise Landfill Gas",0.6
"Landfill Gas","Nether Dallachy Renewable Energy","Nether Dallachy Renewable Energy",1.064
"Landfill Gas","Restenneth","Restenneth",1.1
"Landfill Gas","Riggend","Riggend",0.95
"Landfill Gas","Rigmuir","Rigmuir",2.126
"Landfill Gas","Seater Microgeneration","Seater Microgeneration",0.05
"Landfill Gas","Shewalton Landfill Site","Shewalton Landfill Site",1.836
"Landfill Gas","SRO Wellbank Gas to Energy","SRO Wellbank Gas to Energy",1.003
"Landfill Gas","Stoneyhill RO Generation","Stoneyhill RO Generation",5.325
"Landfill Gas","Straid Farm","Straid Farm",0.625
"Landfill Gas","Summerston 2 Landfill Site","Summerston 2 Landfill Site",2.1
"Landfill Gas","Summerston Landfill","Somerston Landfill",2.85
"Landfill Gas","Tarbothill","Tarbothill",1.15
"Landfill Gas","Wellbank Gas to Energy","Wellbank Gas to Energy",0.93
"Landfill Gas","West Carron Landfill Site","West Carron Landfill Site",0.48
"Landfill Gas","Wester Hatton","Wester Hatton",0.33
"Large Hydro","Rio Tinto Alcan","Fort William",90
"Large Hydro","Rio Tinto Alcan","Kinlochleven",19.5
"Large Hydro","Scottish & Southern Energy plc","Aigas",20
"Large Hydro","Scottish & Southern Energy plc","Allt-na-Lairige",6
"Large Hydro","Scottish & Southern Energy plc","Cashlie",11
"Large Hydro","Scottish & Southern Energy plc","Cassley",10
"Large Hydro","Scottish & Southern Energy plc","Ceannacroc Power Station - A, E",16
"Large Hydro","Scottish & Southern Energy plc","Clachan",40
"Large Hydro","Scottish & Southern Energy plc","Clunie",61.2
"Large Hydro","Scottish & Southern Energy plc","Culligran",17.1
"Large Hydro","Scottish & Southern Energy plc","Deanie",38
"Large Hydro","Scottish & Southern Energy plc","Errochty",75
"Large Hydro","Scottish & Southern Energy plc","Fasnakyle",69
"Large Hydro","Scottish & Southern Energy plc","Fasnakyle Compensation Set",7.701
"Large Hydro","Scottish & Southern Energy plc","Finlarig",16.5
"Large Hydro","Scottish & Southern Energy plc","Foyers Falls",5.2
"Large Hydro","Scottish & Southern Energy plc","Gaur (excl 0.4MWe Comp Set)",7.5
"Large Hydro","Scottish & Southern Energy plc","Glendoe Hydro Power Station",100
"Large Hydro","Scottish & Southern Energy plc","Glenmoriston",37
"Large Hydro","Scottish & Southern Energy plc","Grudie Bridge",18.66
"Large Hydro","Scottish & Southern Energy plc","Inverawe",25
"Large Hydro","Scottish & Southern Energy plc","Invergarry",19.975
"Large Hydro","Scottish & Southern Energy plc","Kilmorack",20
"Large Hydro","Scottish & Southern Energy plc","Livishie",15
"Large Hydro","Scottish & Southern Energy plc","Loch Gair",6
"Large Hydro","Scottish & Southern Energy plc","Lochay",46
"Large Hydro","Scottish & Southern Energy plc","Luichart",34
"Large Hydro","Scottish & Southern Energy plc","Mossford",18.66
"Large Hydro","Scottish & Southern Energy plc","Nant",15
"Large Hydro","Scottish & Southern Energy plc","Orrin",18
"Large Hydro","Scottish & Southern Energy plc","Pitlochry",15
"Large Hydro","Scottish & Southern Energy plc","Quoich",18.05
"Large Hydro","Scottish & Southern Energy plc","Rannoch",45
"Large Hydro","Scottish & Southern Energy plc","Shin",18.62
"Large Hydro","Scottish & Southern Energy plc","Sloy",152.5
"Large Hydro","Scottish & Southern Energy plc","Sron Mor",5
"Large Hydro","Scottish & Southern Energy plc","St Fillans",16.83
"Large Hydro","Scottish & Southern Energy plc","Striven",8
"Large Hydro","Scottish & Southern Energy plc","Torr Achilty",15
"Large Hydro","Scottish & Southern Energy plc","Tummel",34
"Large Hydro","Scottish Power (Galloway)","Carsfad",12
"Large Hydro","Scottish Power (Galloway)","Earlstoun",14
"Large Hydro","Scottish Power (Galloway)","Glenlee",24
"Large Hydro","Scottish Power (Galloway)","Kendoon",24
"Large Hydro","Scottish Power (Galloway)","Tongland",33
"Large Hydro","Scottish Power (Lanark)","Bonnington",11
"Large Hydro","Scottish Power (Lanark)","Stonebyres",6
"Municipal Solid Waste Combustion","Baldovie Incineration Plant","Baldovie Incineration Plant",11
"Municipal Solid Waste Combustion","Dargavel (ACT- gasification)","Dargavel (ACT- gasification)",7
"Municipal Solid Waste Combustion","Glasgow Renewable Energy and Recycling Centre","Glasgow Renewable Energy and Recycling Centre",15.057
"Municipal Solid Waste Combustion","Viridor","Dunbar",36.78
"Photovoltaics","Aldi Bathgate RDC","Aldi Bathgate RDC",0.8
"Photovoltaics","Anesco Ltd","New Mains of Guynd (Scotland)",4.98784
"Photovoltaics","Anesco Ltd","West Mains of Kinblethmont",4.99928
"Photovoltaics","Armadale WWTW PV","Armadale WWTW PV",0.15
"Photovoltaics","Bonnymans","Bonnymans",0.097
"Photovoltaics","Brechin WWTW PV","Brechin WWTW PV",0.2496
"Photovoltaics","Cairnhill Farm solar park","Cairnhill Farm solar park",3.0906
"Photovoltaics","Cairnmore Solar Park","Cairnmore Solar Park",4.32432
"Photovoltaics","Finmont Service Reservoir","Finmont Service Reservoir",0.25
"Photovoltaics","FIT-PV S","FIT-PV S",295.416968
"Photovoltaics","Greencoat Solar I LLP","Errol",12.99942
"Photovoltaics","Greencoat Solar I LLP","West Strathore Solar Limited",4.9773
"Photovoltaics","Invergordon Academy","Invergordon Academy",0.2
"Photovoltaics","IOM Solar PV1","IOM Solar PV1",0.064
"Photovoltaics","Lightsource Renewable Energy Ltd","Middle Balbeggie PV",4.997475
"Photovoltaics","Lightsource Renewable Energy Ltd","Pressock Solar Farm",4.249
"Photovoltaics","Lochaber High School (Resubmission)","Lochaber High School (Resubmission)",0.27
"Photovoltaics","Octopus Investments Ltd","Site To North East Of, Lochcraigs Farm",4.992
"Photovoltaics","Parkhill Solar Farm","Parkhill Solar Farm",4.99
"Photovoltaics","Scottish & Southern Energy plc","Edinburgh College",0.62725
"Photovoltaics","St Margarets Bay","St Margarets Bay",0.23
"Photovoltaics","Wormit Photovoltaic_Project","Wormit Photovoltaic_Project",4.961
"Poultry Litter","Westfield Biomass Plant","Westfield Biomass Plant",12.5
"Sewage Sludge Digestion","Allan Fearn CHP","Allan Fearn CHP",0.46
"Sewage Sludge Digestion","Cumnock Waste Water Treatment Works*","Cumnock Waste Water Treatment Works*",0.16
"Sewage Sludge Digestion","Galashiels WWTW CHP","Galashiels WWTW CHP",0.124
"Sewage Sludge Digestion","Hatton CHP","Hatton CHP",0.501
"Sewage Sludge Digestion","NEWBRIDGE PIGS","NEWBRIDGE PIGS",0.06
"Sewage Sludge Digestion","Newbridge STW","Newbridge STW",0.344
"Sewage Sludge Digestion","Nigg Bay WWTW","Nigg Bay WWTW",1.84
"Sewage Sludge Digestion","Seafield","Seafield",3.759
"Shoreline Wave","Billia Croo berth 5","Billia Croo berth 5",0.96
"Shoreline Wave","Billia Croo Berth 6","Billia Croo Berth 6",0.8
"Shoreline Wave","Islay Wave Energy Plant","Islay Wave Energy Plant",0.169
"Shoreline Wave","Oyster Demonstration Project","Oyster Demonstration Project",0.8
"Shoreline Wave","Scottish Power EMEC Test Site","Orcadian Wave",0.75
"Shoreline Wave","Seatricity Turbine (EMEC)","Seatricity Turbine (EMEC)",1
"Shoreline Wave","The Penguin (EMEC)","The Penguin (EMEC)",0.5
"Shoreline Wave","Vagr Atferth","Vagr Atferth",0.75
"Small Hydro","Acharn Burn","Acharn Burn",0.38
"Small Hydro","Alladale","Alladale",0.15
"Small Hydro","Ardverikie","Ardverikie",1.1
"Small Hydro","Ashfield Generator B","Ashfield Generator B",0.5
"Small Hydro","Ashfield House Hydro","Ashfield House Hydro",0.21
"Small Hydro","Ashfield Mill","Ashfield Mill",0.15
"Small Hydro","Balgonie Hydro Power Station","Balgonie Hydro Power Station",0.65
"Small Hydro","Beochlich Hydro Scheme","Beochlich Hydro Scheme",0.998
"Small Hydro","Birkhall Estate","Birkhall Estate",2
"Small Hydro","Blarghour","Blarghour",0.475
"Small Hydro","Bridge of Tilt","Bridge of Tilt",0.15
"Small Hydro","Burnhead Power Station","Burnhead Power Station",1.3
"Small Hydro","Callop & Guesachan","Callop & Guesachan",1.445
"Small Hydro","Camserney Hydron Scheme","Camserney Hydron Scheme",0.9
"Small Hydro","Cauldron Linn","Cauldron Linn",0.436
"Small Hydro","Clachbreck","Clachbreck",0.132
"Small Hydro","Clatto Treatment Works","Clatto Treatment Works",0.171
"Small Hydro","Cleghorn Bridge Hydro","Cleghorn Bridge Hydro",0.32
"Small Hydro","Conaglen House","Conaglen House",0.25
"Small Hydro","Deanston HES","Deanston HES",0.4
"Small Hydro","Drimsynie Estate Power Station","Drimsynie Estate Power Station",0.4
"Small Hydro","Duror Hydro Scheme","Duror Hydro Scheme",0.71
"Small Hydro","ELIOCK HOUSE PRIVATE HYDRO","ELIOCK HOUSE PRIVATE HYDRO",0.56
"Small Hydro","Esregan","Esregan",0.955
"Small Hydro","Faichemard Farm Hydro","Faichemard Farm Hydro",0.165
"Small Hydro","Fairburn House","Fairburn House",0.11
"Small Hydro","Fettykil Mills","Fettykil Mills",0.4
"Small Hydro","FIT-Hydro S","FIT-Hydro S",190.34862
"Small Hydro","Forebush Power Station","Forebush Power Station",0.65
"Small Hydro","Forrest Estate","Forrest Estate",3.611
"Small Hydro","Garbhaig Hydro","Garbhaig Hydro",2.972
"Small Hydro","Glen Finglas Turbine","Glen Finglas Turbine",0.46
"Small Hydro","Glen Kinglas Hydro Ltd","Glen Kinglas Hydro Ltd",0.96
"Small Hydro","Glen Kinglass","Glen Kinglass",1
"Small Hydro","Glenborrodale Hydro","Glenborrodale Hydro",0.15
"Small Hydro","Glendevon","Glendevon",1.389
"Small Hydro","Glenfinglass","Glenfinglass",1.278
"Small Hydro","Glenglass Hydro","Glenglass Hydro",0.916
"Small Hydro","Glenlyon Est","Glenlyon Est",0.9
"Small Hydro","Glenmore Power Station","Glenmore Power Station",0.12
"Small Hydro","Hearthstanes Est","Hearthstanes Est",0.122
"Small Hydro","Inverfarigaig","Inverfarigaig",4
"Small Hydro","Kildermorie Estate","Kildermorie Estate",0.1
"Small Hydro","Kinnaird","Kinnaird",0.25
"Small Hydro","Knoydart Hydro","Knoydart Hydro",0.28
"Small Hydro","Laig Hydro Station","Laig Hydro Station",0.1
"Small Hydro","Lintrathen Water Works","Lintrathen Water Works",0.3
"Small Hydro","Little Wyvis","Little Wyvis",0.68
"Small Hydro","Loch Braden WTW","Loch Braden WTW",0.45
"Small Hydro","Loch Calder  (WTW)","Loch Calder  (WTW)",0.11
"Small Hydro","Loch Poll Hydro Project","Loch Poll Hydro Project",0.225
"Small Hydro","Loch Turret","Loch Turret",1.826
"Small Hydro","Lude Est","Lude Est",0.333
"Small Hydro","Mannoch Power Station","Mannoch Power Station",0.257
"Small Hydro","Monzie","Monzie",0.2
"Small Hydro","MRC Energy","MRC Energy",0.45
"Small Hydro","New Lanark Mills","New Lanark Mills",0.5
"Small Hydro","Novar Estate","Novar Estate",2.556
"Small Hydro","Ormsary Fish Farm","Ormsary Fish Farm",0.785
"Small Hydro","Roshven","Roshven",0.5
"Small Hydro","Rottal Hydro Ltd","Rottal Hydro Ltd",0.45
"Small Hydro","RWE Npower (Kielder)","Glen Noe",2
"Small Hydro","RWE Npower Plc","Auchtertyre Hydro Scheme (SRO)",0.6
"Small Hydro","RWE Npower Plc","Black Rock",3.5
"Small Hydro","RWE Npower Plc","Blantyre Mills",0.57
"Small Hydro","RWE Npower Plc","Braevallich Hydroelectric Scheme",2.274
"Small Hydro","RWE Npower Plc","Carnoch Hydro Electric Generating Station",1.35
"Small Hydro","RWE Npower Plc","Cia Aig Hydro",3
"Small Hydro","RWE Npower Plc","Douglas Water",2.969
"Small Hydro","RWE Npower Plc","Garrogie Hydro Scheme",2.4
"Small Hydro","RWE Npower Plc","Garry Gualach Hydro Scheme (SRO)",0.78
"Small Hydro","RWE Npower Plc","Glen Tarbert (SRO)",0.85
"Small Hydro","RWE Npower Plc","Grudie",2
"Small Hydro","RWE Npower Plc","Inverbain Hydroelectric Scheme",0.95
"Small Hydro","RWE Npower Plc","Inverlael",2.5
"Small Hydro","RWE Npower Plc","Maldie",4
"Small Hydro","RWE Npower Plc","River E Hydro Electric Generating Station",3
"Small Hydro","Saline ROC","Saline ROC",0.09
"Small Hydro","Scottish & Southern Energy plc","Achanalt",3.1
"Small Hydro","Scottish & Southern Energy plc","Awe Barrage - A",0.886
"Small Hydro","Scottish & Southern Energy plc","Beannachran Dam",0.16
"Small Hydro","Scottish & Southern Energy plc","Ceannacroc Compensation Generator",4
"Small Hydro","Scottish & Southern Energy plc","Chliostair (Harris)",1.32
"Small Hydro","Scottish & Southern Energy plc","Claddoch Power Station",0.22
"Small Hydro","Scottish & Southern Energy plc","Cluanie Dam",0.32
"Small Hydro","Scottish & Southern Energy plc","Clunie Dam",0.175
"Small Hydro","Scottish & Southern Energy plc","Cuaich Power Station",2.5
"Small Hydro","Scottish & Southern Energy plc","Cuileig Hydro Scheme",3.3
"Small Hydro","Scottish & Southern Energy plc","Culligran Comp Set",2
"Small Hydro","Scottish & Southern Energy plc","Dalchonzie",4
"Small Hydro","Scottish & Southern Energy plc","Duchally Power Station",0.45
"Small Hydro","Scottish & Southern Energy plc","Dundreggan Dam",0.16
"Small Hydro","Scottish & Southern Energy plc","Gaur comp",0.4
"Small Hydro","Scottish & Southern Energy plc","Gisla (Lewis)",0.72
"Small Hydro","Scottish & Southern Energy plc","Invergarry Dam",0.24
"Small Hydro","Scottish & Southern Energy plc","Kerry Falls",1.25
"Small Hydro","Scottish & Southern Energy plc","Kilmelford",2.082
"Small Hydro","Scottish & Southern Energy plc","Kilmelford Compset",0.082
"Small Hydro","Scottish & Southern Energy plc","Kingairloch Power Station",3.5
"Small Hydro","Scottish & Southern Energy plc","Lairg Power Station",3.5
"Small Hydro","Scottish & Southern Energy plc","Lednock",3
"Small Hydro","Scottish & Southern Energy plc","Loch Dubh (Ullapool)",1.2
"Small Hydro","Scottish & Southern Energy plc","Loch Ericht Power Station",2.2
"Small Hydro","Scottish & Southern Energy plc","Lochay Compensation Generator",2
"Small Hydro","Scottish & Southern Energy plc","Lochay Fish Pass Generator",0.054
"Small Hydro","Scottish & Southern Energy plc","Loyne Tunnel",0.55
"Small Hydro","Scottish & Southern Energy plc","Lubreoch Power Station",4
"Small Hydro","Scottish & Southern Energy plc","Luichart Dam",0.085
"Small Hydro","Scottish & Southern Energy plc","Lussa Power Station",2.4
"Small Hydro","Scottish & Southern Energy plc","Meig Dam",0.076
"Small Hydro","Scottish & Southern Energy plc","Misgeach Power Station",0.35
"Small Hydro","Scottish & Southern Energy plc","Morar",0.75
"Small Hydro","Scottish & Southern Energy plc","Mucomir",1.7
"Small Hydro","Scottish & Southern Energy plc","Mucomir comp",0.2
"Small Hydro","Scottish & Southern Energy plc","Mullardoch Tunnel",2.4
"Small Hydro","Scottish & Southern Energy plc","Nostie Bridge (Lochalsh)",1.3
"Small Hydro","Scottish & Southern Energy plc","Orrin Dam",0.256
"Small Hydro","Scottish & Southern Energy plc","Pitlochry Compensation Generation",0.059
"Small Hydro","Scottish & Southern Energy plc","Quoich Dam",0.32
"Small Hydro","Scottish & Southern Energy plc","Shin Diversion Dam",0.1
"Small Hydro","Scottish & Southern Energy plc","Storr Lochs (Skye)",2.4
"Small Hydro","Scottish & Southern Energy plc","Stronuich Power Station",0.18
"Small Hydro","Scottish & Southern Energy plc","Tobermory Power Station",0.28
"Small Hydro","Scottish & Southern Energy plc","Tralaig Power Station",0.084
"Small Hydro","Scottish & Southern Energy plc","Trinafour",0.55
"Small Hydro","Scottish & Southern Energy plc","Vaich Power Station",0.32
"Small Hydro","Scottish Power (Galloway)","Drumjohn",1
"Small Hydro","Silverhills House","Silverhills House",0.278
"Small Hydro","Stanley Mills (SRO)","Stanley Mills (SRO)",0.84
"Small Hydro","Stoneywood Mill","Stoneywood Mill",0.62
"Small Hydro","Stormontfield Hydro Station","Stormontfield Hydro Station",0.11
